ipcc_coverage,ipcc_score,ipcc_share,primary_wg,score,share,title,deviation,abs_md,representation,ys,year_av,lrep,x_q,y_q
0.157020260434956,23.6729962657683,0.00851513771142058,1,278.090374207907,0.00703597944596659,"{solar, radiation, irradiance}",0.001479158265453989,0.001479158265453989,1.2102277695398789,0.4643737924132612,4.423076923076923,0.19080858118301386,1,4
0.061647238207229,5.9398517607866,0.00213655488138018,3,217.785653501237,0.00551020647883155,"{soc, stock, soil}",-0.00337365159745137,0.00337365159745137,0.38774497645199685,0.42835873693519283,4.630434782608695,-0.9474074326457856,4,0
0.184675606694385,51.1888020887729,0.0184125276823892,1,511.399767503455,0.0129389528964289,"{temperature, warm, air}",0.005473574785960299,0.005473574785960299,1.423030737477295,0.45772259161926365,4.470588235294118,0.3527889193503912,1,4
0.143764731885521,13.6698046261776,0.00491700617755911,2,187.78937756753,0.00475126909552135,"{fire, burn, wildfire}",0.0001657370820377594,0.0001657370820377594,1.0348826973816294,0.4700705522797932,4.568627450980392,0.03428808443117816,3,3
0.0683518738621595,11.1290638200966,0.00400310590021695,2,301.599329842196,0.00763078079106932,"{lake, level, diatom}",-0.0036276748908523693,0.0036276748908523693,0.5245997768540256,0.48394002105000294,4.425925925925926,-0.6451196369134924,1,1
0.190829605294047,45.1568003020395,0.0162428265886648,3,474.334289572494,0.0120011572549221,"{country, develop, international}",0.0042416693337427,0.0042416693337427,1.3534383596217807,0.4356258174325028,4.595744680851064,0.30264828756622797,3,4
0.0430098776980879,7.95409789394575,0.00286107589325344,3,439.285942364581,0.0111143971458303,"{cement, material, concrete}",-0.00825332125257686,0.00825332125257686,0.25742069999062495,0.39219297394789177,4.627906976744186,-1.3570435675095915,4,0
0.27154450259932,68.3796807701845,0.0245960583900849,1,376.457015038788,0.00952475909188635,"{ocean, surface, deep}",0.015071299298198549,0.015071299298198549,2.582328660788598,0.5207900205138634,4.278688524590164,0.9486915735526009,0,5
0.152960465987003,17.3075532423855,0.00622549835483925,2,226.859328383831,0.00573978001281366,"{runoff, catchment, hydrological}",0.0004857183420255906,0.0004857183420255906,1.0846231634211168,0.44814551257097107,4.551020408163265,0.08123261184541491,2,3
0.0453079064492104,8.64671078893093,0.00311020760920918,2,442.719281448335,0.0112012642417991,"{process, membrane, solvent}",-0.00809105663258992,0.00809105663258992,0.2776657654055692,0.40212295801175396,4.636363636363637,-1.281337171326958,4,0
0.17559357142392,27.1433709747031,0.00976342577031501,2,339.927852339849,0.00860053279077766,"{health, disease, human}",0.001162892979537351,0.001162892979537351,1.1352117372058996,0.4159012120219624,4.644444444444445,0.12681918613890958,4,4
0.127695338905309,24.108270683568,0.00867170520157739,2,354.217700578429,0.00896208100609797,"{vegetation, ndvi, index}",-0.00029037580452057933,0.00029037580452057933,0.9675995112828145,0.4625276443992218,4.423076923076923,-0.03293700532822942,1,3
0.112541220214529,31.6456934987133,0.011382903756235,1,555.367081625735,0.014051372264916,"{data, use, satellite}",-0.0026684685086810003,0.0026684685086810003,0.8100919640892489,0.44492327112359165,4.510204081632653,-0.2106075018477136,2,2
0.12468451107037,21.3354255079296,0.00767431736532992,2,328.154104911113,0.00830264457675176,"{forest, stand, tropical}",-0.0006283272114218407,0.0006283272114218407,0.9243220391270006,0.45658980569760377,4.470588235294118,-0.07869474086822334,1,3
0.0557898112377824,7.26905893399048,0.0026146685092358,1,223.610928566555,0.00565759207512708,"{cal, pollen, holocene}",-0.0030429235658912803,0.0030429235658912803,0.462152179675674,0.5295428572815959,4.440677966101695,-0.7718610489010509,1,1
0.164806267131154,31.2763437093136,0.01125004924618,1,358.477923358137,0.00906986913072705,"{permafrost, thaw, layer}",0.0021801801154529496,0.0021801801154529496,1.2403761381811893,0.450206264177861,4.46,0.2154146708624002,1,4
